,name,stars,forks,language,license
0,freeCodeCamp,417150,39915,TypeScript,BSD-3-Clause
1,build-your-own-x,374887,34909,Markdown,
2,awesome,357810,28980,,CC0-1.0
3,free-programming-books,355681,63237,HTML,CC-BY-4.0
4,public-apis,337894,35673,Python,MIT
5,coding-interview-university,316321,78614,,CC-BY-SA-4.0
6,developer-roadmap,316042,41028,TypeScript,NOASSERTION
7,system-design-primer,297318,49418,Python,NOASSERTION
8,996.ICU,270560,21094,,NOASSERTION
9,awesome-python,241604,25591,Python,NOASSERTION
10,react,234954,48349,JavaScript,MIT
11,awesome-selfhosted,226199,10576,,NOASSERTION
12,project-based-learning,225389,29465,,MIT
13,vue,208765,33742,TypeScript,MIT
14,Python,199917,46660,Python,MIT
15,linux,192349,55640,C,NOASSERTION
16,javascript-algorithms,191068,30653,JavaScript,MIT
17,tensorflow,189662,74648,C++,Apache-2.0
18,You-Dont-Know-JS,181882,33614,,NOASSERTION
19,CS-Notes,179932,51204,,
20,computer-science,178558,22620,HTML,MIT
21,ohmyzsh,177950,26058,Shell,MIT
22,AutoGPT,174814,45625,Python,NOASSERTION
23,bootstrap,172248,79078,MDX,MIT
24,vscode,170430,31795,TypeScript,MIT
25,flutter,169952,28425,Dart,BSD-3-Clause
26,the-book-of-secret-knowledge,166303,10411,,MIT
27,gitignore,166034,83073,,CC0-1.0
28,Python-100-Days,164700,53570,Jupyter Notebook,
29,the-art-of-command-line,155729,14652,,
30,stable-diffusion-webui,151764,28216,Python,AGPL-3.0
31,JavaGuide,149353,45811,Java,Apache-2.0
32,javascript,146611,26734,JavaScript,MIT
33,transformers,143535,28777,Python,Apache-2.0
34,awesome-go,142563,12255,Go,MIT
35,ollama,138683,11562,Go,MIT
36,youtube-dl,135343,10306,Python,Unlicense
37,Microsoft-Activation-Scripts,132463,12876,Batchfile,GPL-3.0
38,next.js,131390,28242,JavaScript,MIT
39,fucking-algorithm,127706,23352,Markdown,
40,go,127437,17988,Go,BSD-3-Clause
41,tech-interview-handbook,125771,15353,TypeScript,MIT
42,awesome-chatgpt-prompts,123566,16542,JavaScript,CC0-1.0
43,30-seconds-of-code,123473,12146,JavaScript,CC-BY-4.0
