,id,name,full_name,stars,forks,language,license,created_at,updated_at,pushed_at,size,open_issues,html_url
0,28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,417247,39943,TypeScript,BSD-3-Clause,2014-12-24 17:49:19+00:00,2025-04-29 00:31:18+00:00,2025-04-28 23:08:23+00:00,496872,289,https://github.com/freeCodeCamp/freeCodeCamp
1,132750724,build-your-own-x,codecrafters-io/build-your-own-x,376205,35026,Markdown,,2018-05-09 12:03:18+00:00,2025-04-29 00:38:48+00:00,2025-04-11 19:13:28+00:00,1061,373,https://github.com/codecrafters-io/build-your-own-x
2,21737465,awesome,sindresorhus/awesome,358080,28987,,CC0-1.0,2014-07-11 13:42:37+00:00,2025-04-29 00:26:27+00:00,2025-04-08 10:52:40+00:00,1485,56,https://github.com/sindresorhus/awesome
3,13491895,free-programming-books,EbookFoundation/free-programming-books,355786,63244,HTML,CC-BY-4.0,2013-10-11 06:50:37+00:00,2025-04-29 00:28:36+00:00,2025-04-28 12:57:51+00:00,19568,75,https://github.com/EbookFoundation/free-programming-books
4,54346799,public-apis,public-apis/public-apis,338121,35685,Python,MIT,2016-03-20 23:49:42+00:00,2025-04-29 00:39:20+00:00,2024-10-31 19:50:02+00:00,5030,454,https://github.com/public-apis/public-apis
5,60493101,coding-interview-university,jwasham/coding-interview-university,316496,78631,,CC-BY-SA-4.0,2016-06-06 02:34:12+00:00,2025-04-29 00:26:34+00:00,2024-12-05 23:47:30+00:00,22600,69,https://github.com/jwasham/coding-interview-university
6,85077558,developer-roadmap,kamranahmedse/developer-roadmap,316437,41068,TypeScript,NOASSERTION,2017-03-15 13:45:52+00:00,2025-04-29 00:25:45+00:00,2025-04-29 00:13:02+00:00,257195,222,https://github.com/kamranahmedse/developer-roadmap
7,83222441,system-design-primer,donnemartin/system-design-primer,297460,49437,Python,NOASSERTION,2017-02-26 16:15:28+00:00,2025-04-28 23:38:26+00:00,2024-12-02 01:10:39+00:00,11220,489,https://github.com/donnemartin/system-design-primer
8,177736533,996.ICU,996icu/996.ICU,270571,21093,,NOASSERTION,2019-03-26 07:31:14+00:00,2025-04-28 20:42:22+00:00,2024-10-03 12:29:12+00:00,187831,16702,https://github.com/996icu/996.ICU
9,21289110,awesome-python,vinta/awesome-python,241783,25596,Python,NOASSERTION,2014-06-27 21:00:06+00:00,2025-04-29 00:26:28+00:00,2024-08-11 17:10:18+00:00,6769,474,https://github.com/vinta/awesome-python
10,10270250,react,facebook/react,235005,48358,JavaScript,MIT,2013-05-24 16:15:54+00:00,2025-04-29 00:28:37+00:00,2025-04-28 21:40:32+00:00,861521,1009,https://github.com/facebook/react
11,36633370,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,226456,10585,,NOASSERTION,2015-06-01 02:33:17+00:00,2025-04-29 00:35:41+00:00,2025-04-26 10:21:47+00:00,16608,0,https://github.com/awesome-selfhosted/awesome-selfhosted
12,88011908,project-based-learning,practical-tutorials/project-based-learning,225677,29503,,MIT,2017-04-12 05:07:46+00:00,2025-04-29 00:38:16+00:00,2024-08-15 05:33:54+00:00,438,220,https://github.com/practical-tutorials/project-based-learning
13,11730342,vue,vuejs/vue,208777,33743,TypeScript,MIT,2013-07-29 03:24:51+00:00,2025-04-28 21:37:11+00:00,2024-10-10 07:24:15+00:00,32152,603,https://github.com/vuejs/vue
14,63476337,Python,TheAlgorithms/Python,200007,46668,Python,MIT,2016-07-16 09:44:01+00:00,2025-04-28 23:51:26+00:00,2025-04-28 17:56:04+00:00,15240,374,https://github.com/TheAlgorithms/Python
15,2325298,linux,torvalds/linux,192468,55664,C,NOASSERTION,2011-09-04 22:48:12+00:00,2025-04-29 00:25:04+00:00,2025-04-28 23:58:44+00:00,5555180,461,https://github.com/torvalds/linux
16,126577260,javascript-algorithms,trekhleb/javascript-algorithms,191086,30657,JavaScript,MIT,2018-03-24 07:47:04+00:00,2025-04-28 23:44:29+00:00,2025-02-12 16:19:59+00:00,13564,363,https://github.com/trekhleb/javascript-algorithms
17,45717250,tensorflow,tensorflow/tensorflow,189691,74648,C++,Apache-2.0,2015-11-07 01:19:20+00:00,2025-04-29 00:28:14+00:00,2025-04-29 00:28:04+00:00,1184205,8556,https://github.com/tensorflow/tensorflow
18,14440270,You-Dont-Know-JS,getify/You-Dont-Know-JS,181902,33618,,NOASSERTION,2013-11-16 02:37:24+00:00,2025-04-28 23:19:45+00:00,2025-04-24 20:39:19+00:00,15055,125,https://github.com/getify/You-Dont-Know-JS
19,121395510,CS-Notes,CyC2018/CS-Notes,179963,51206,,,2018-02-13 14:56:24+00:00,2025-04-28 22:17:41+00:00,2024-08-21 09:40:10+00:00,116179,187,https://github.com/CyC2018/CS-Notes
20,19415064,computer-science,ossu/computer-science,178700,22650,HTML,MIT,2014-05-04 00:18:39+00:00,2025-04-29 00:29:58+00:00,2025-04-11 22:35:04+00:00,1741,14,https://github.com/ossu/computer-science
21,291137,ohmyzsh,ohmyzsh/ohmyzsh,177988,26061,Shell,MIT,2009-08-28 18:15:37+00:00,2025-04-29 00:34:02+00:00,2025-04-27 12:55:25+00:00,12785,471,https://github.com/ohmyzsh/ohmyzsh
22,614765452,AutoGPT,Significant-Gravitas/AutoGPT,174871,45634,Python,NOASSERTION,2023-03-16 09:21:07+00:00,2025-04-28 23:31:22+00:00,2025-04-28 23:23:08+00:00,242673,199,https://github.com/Significant-Gravitas/AutoGPT
23,2126244,bootstrap,twbs/bootstrap,172252,79080,MDX,MIT,2011-07-29 21:19:00+00:00,2025-04-29 00:23:34+00:00,2025-04-25 17:22:58+00:00,255333,531,https://github.com/twbs/bootstrap
24,41881900,vscode,microsoft/vscode,170514,31828,TypeScript,MIT,2015-09-03 20:23:38+00:00,2025-04-29 00:06:22+00:00,2025-04-29 00:06:41+00:00,1004818,10066,https://github.com/microsoft/vscode
25,31792824,flutter,flutter/flutter,169993,28432,Dart,BSD-3-Clause,2015-03-06 22:54:58+00:00,2025-04-29 00:29:09+00:00,2025-04-29 00:34:42+00:00,311445,13123,https://github.com/flutter/flutter
26,138393139,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,167365,10468,,MIT,2018-06-23 10:43:14+00:00,2025-04-29 00:37:17+00:00,2024-11-19 14:00:38+00:00,1748,89,https://github.com/trimstray/the-book-of-secret-knowledge
27,1062897,gitignore,github/gitignore,166090,83074,,CC0-1.0,2010-11-08 20:17:14+00:00,2025-04-29 00:07:12+00:00,2025-04-25 22:08:34+00:00,2560,489,https://github.com/github/gitignore
28,123458551,Python-100-Days,jackfrued/Python-100-Days,164856,53591,Jupyter Notebook,,2018-03-01 16:05:52+00:00,2025-04-28 23:54:30+00:00,2025-03-28 10:29:23+00:00,396875,715,https://github.com/jackfrued/Python-100-Days
29,35955666,the-art-of-command-line,jlevy/the-art-of-command-line,155770,14655,,,2015-05-20 15:11:03+00:00,2025-04-28 23:39:18+00:00,2024-06-25 18:13:44+00:00,2772,248,https://github.com/jlevy/the-art-of-command-line
30,527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,151838,28235,Python,AGPL-3.0,2022-08-22 14:05:26+00:00,2025-04-29 00:21:45+00:00,2025-03-04 16:11:29+00:00,36351,2399,https://github.com/AUTOMATIC1111/stable-diffusion-webui
31,132464395,JavaGuide,Snailclimb/JavaGuide,149385,45814,Java,Apache-2.0,2018-05-07 13:27:00+00:00,2025-04-29 00:37:38+00:00,2025-04-28 23:08:00+00:00,176901,70,https://github.com/Snailclimb/JavaGuide
32,6498492,javascript,airbnb/javascript,146612,26735,JavaScript,MIT,2012-11-01 23:13:50+00:00,2025-04-28 22:33:50+00:00,2024-12-09 06:56:18+00:00,3689,173,https://github.com/airbnb/javascript
33,155220641,transformers,huggingface/transformers,143625,28789,Python,Apache-2.0,2018-10-29 13:56:00+00:00,2025-04-29 00:24:43+00:00,2025-04-28 22:40:04+00:00,300298,1766,https://github.com/huggingface/transformers
